id,name,lang,new stars
11620669,CodeHubApp/CodeHub,C#,83
17620347,dotnet/aspnetcore,C#,142
13428264,ShareX/ShareX,C#,109
54086969,thangchung/awesome-dotnet-core,C#,55
12201538,aspnetboilerplate/aspnetboilerplate,C#,30
959908,OpenRA/OpenRA,C#,35
738250,NancyFx/Nancy,C#,16
2465723,Sonarr/Sonarr,C#,40
18586705,nopSolutions/nopCommerce,C#,32
17748183,StackExchange/StackExchange.Redis,C#,20
193681686,NetchX/Netch,C#,130
75505125,abpframework/abp,C#,93
130160795,HMBSbige/ShadowsocksR-Windows,C#,120
142480903,microsoft/microsoft-ui-xaml,C#,160
68730444,microsoft/BotBuilder-Samples,C#,23
135050219,TGSAN/CMWTAT_Digital_Edition,C#,60
210716005,dotnet/runtime,C#,105
145101484,anjoy8/Blog.Core,C#,46
120231691,Ryujinx/Ryujinx,C#,26
182095352,nilaoda/N_m3u8DL-CLI,C#,99
165548191,carlospolop/privilege-escalation-awesome-scripts-suite,C#,84
184286875,actions/runner,C#,23
189675276,enkodellc/blazorboilerplate,C#,25
155757874,microsoft/Xaml-Controls-Gallery,C#,13
116398953,microsoft/powerapps-tools,C#,20
