id,name,lang,new stars
111583593,Genymobile/scrcpy,C,57
13233158,obsproject/obs-studio,C,143
908607,numpy/numpy,C,13
20159867,nothings/stb,C,5
32969220,esp8266/Arduino,C,9
102578345,coolsnowwolf/lede,C,49
3199002,raspberrypi/linux,C,3
27737393,qmk/qmk_firmware,C,5
41215835,HandBrake/HandBrake,C,6
2328181,freebsd/freebsd,C,1
70127218,espressif/arduino-esp32,C,6
39242894,coturn/coturn,C,6
35129809,transmission/transmission,C,5
37060852,betaflight/betaflight,C,2
68291988,miloyip/json-tutorial,C,10
13836499,raysan5/raylib,C,9
40759227,domoticz/domoticz,C,1
68082730,Ralim/ts100,C,2
25947175,rogerclarkmelbourne/Arduino_STM32,C,2
22621103,lwfinger/rtlwifi_new,C,4
117944122,LukeSmithxyz/st,C,4
240011145,Lienol/openwrt,C,8
231104194,iliasam/OpenTOFLidar,C,23
220155110,david-pzh/X-Bot,C,2
211756905,MarlinFirmware/Configurations,C,0
