id,name,full_name,language,new stars,description,forks_count,stargazers_count,owner
8514,rails,rails/rails,Ruby,214,Ruby on Rails,19613,48825,|{'html_url': 'https://github.com/rails/rails', 'avatar_url': 'https://avatars.githubusercontent.com/u/8514?v=4', 'login': 'rails'}|
65252,jekyll,jekyll/jekyll,Ruby,214,:globe_with_meridians: Jekyll is a blog-aware static site generator in Ruby,9492,43142,|{'html_url': 'https://github.com/jekyll/jekyll', 'avatar_url': 'https://avatars.githubusercontent.com/u/65252?v=4', 'login': 'jekyll'}|
27442967,fastlane,fastlane/fastlane,Ruby,193,🚀 The easiest way to automate building and releasing your iOS and Android apps,4956,32731,|{'html_url': 'https://github.com/fastlane/fastlane', 'avatar_url': 'https://avatars.githubusercontent.com/u/27442967?v=4', 'login': 'fastlane'}|
8681349,huginn,huginn/huginn,Ruby,244,Create agents that monitor and act on your behalf.  Your agents are standing by!,3049,32014,|{'html_url': 'https://github.com/huginn/huginn', 'avatar_url': 'https://avatars.githubusercontent.com/u/8681349?v=4', 'login': 'huginn'}|
53238813,brew,Homebrew/brew,Ruby,396,🍺 The missing package manager for macOS (or Linux),6497,28739,|{'html_url': 'https://github.com/Homebrew/brew', 'avatar_url': 'https://avatars.githubusercontent.com/u/53238813?v=4', 'login': 'brew'}|
13840241,devdocs,freeCodeCamp/devdocs,Ruby,257,API Documentation Browser,1755,26295,|{'html_url': 'https://github.com/freeCodeCamp/devdocs', 'avatar_url': 'https://avatars.githubusercontent.com/u/13840241?v=4', 'login': 'devdocs'}|
2293158,metasploit-framework,rapid7/metasploit-framework,Ruby,323,Metasploit Framework,11478,24794,|{'html_url': 'https://github.com/rapid7/metasploit-framework', 'avatar_url': 'https://avatars.githubusercontent.com/u/2293158?v=4', 'login': 'metasploit-framework'}|
52281283,mastodon,mastodon/mastodon,Ruby,194,|Your self-hosted, globally interconnected microblogging community|,4082,24575,|{'html_url': 'https://github.com/mastodon/mastodon', 'avatar_url': 'https://avatars.githubusercontent.com/u/52281283?v=4', 'login': 'mastodon'}|
2500088,gitlabhq,gitlabhq/gitlabhq,Ruby,66,|GitLab CE Mirror || Please open new issues in our issue tracker on GitLab.com|,5677,22686,|{'html_url': 'https://github.com/gitlabhq/gitlabhq', 'avatar_url': 'https://avatars.githubusercontent.com/u/2500088?v=4', 'login': 'gitlabhq'}|
37382858,engineering-blogs,kilimchoi/engineering-blogs,Ruby,423,A curated list of engineering blogs,450,19641,|{'html_url': 'https://github.com/kilimchoi/engineering-blogs', 'avatar_url': 'https://avatars.githubusercontent.com/u/37382858?v=4', 'login': 'engineering-blogs'}|
538746,ruby,ruby/ruby,Ruby,115,The Ruby Programming Language [mirror],4865,18342,|{'html_url': 'https://github.com/ruby/ruby', 'avatar_url': 'https://avatars.githubusercontent.com/u/538746?v=4', 'login': 'ruby'}|
73648678,forem,forem/forem,Ruby,304,For empowering community 🌱,3013,17276,|{'html_url': 'https://github.com/forem/forem', 'avatar_url': 'https://avatars.githubusercontent.com/u/73648678?v=4', 'login': 'forem'}|
1090311,logstash,elastic/logstash,Ruby,72,|Logstash - transport and process your logs, events, or other data|,3199,12315,|{'html_url': 'https://github.com/elastic/logstash', 'avatar_url': 'https://avatars.githubusercontent.com/u/1090311?v=4', 'login': 'logstash'}|
3314,spree,spree/spree,Ruby,67,Open Source modular headless multi-language/multi-currency/multi-store e-commerce platform,4770,11367,|{'html_url': 'https://github.com/spree/spree', 'avatar_url': 'https://avatars.githubusercontent.com/u/3314?v=4', 'login': 'spree'}|
88740103,postal,postalserver/postal,Ruby,88,✉️ A fully featured open source mail delivery platform for incoming & outgoing e-mail,742,10653,|{'html_url': 'https://github.com/postalserver/postal', 'avatar_url': 'https://avatars.githubusercontent.com/u/88740103?v=4', 'login': 'postal'}|
202291859,chatwoot,chatwoot/chatwoot,Ruby,360,|Open-source customer engagement suite, an alternative to Intercom, Zendesk, Salesforce Service Cloud etc. 🔥💬|,1134,9862,|{'html_url': 'https://github.com/chatwoot/chatwoot', 'avatar_url': 'https://avatars.githubusercontent.com/u/202291859?v=4', 'login': 'chatwoot'}|
52855516,homebrew-core,Homebrew/homebrew-core,Ruby,116,🍻 Default formulae for the missing package manager for macOS,9565,9633,|{'html_url': 'https://github.com/Homebrew/homebrew-core', 'avatar_url': 'https://avatars.githubusercontent.com/u/52855516?v=4', 'login': 'homebrew-core'}|
21829,factory_bot,thoughtbot/factory_bot,Ruby,40,A library for setting up Ruby objects as test data.,2441,7267,|{'html_url': 'https://github.com/thoughtbot/factory_bot', 'avatar_url': 'https://avatars.githubusercontent.com/u/21829?v=4', 'login': 'factory_bot'}|
69193081,how-to-contribute-to-open-source,freeCodeCamp/how-to-contribute-to-open-source,Ruby,170,A guide to contributing to open source,1200,5452,|{'html_url': 'https://github.com/freeCodeCamp/how-to-contribute-to-open-source', 'avatar_url': 'https://avatars.githubusercontent.com/u/69193081?v=4', 'login': 'how-to-contribute-to-open-source'}|
355893,markup,github/markup,Ruby,30,Determines which markup library to use to render a content file (e.g. README) on GitHub,3564,5217,|{'html_url': 'https://github.com/github/markup', 'avatar_url': 'https://avatars.githubusercontent.com/u/355893?v=4', 'login': 'markup'}|
30337170,graphql-ruby,rmosolgo/graphql-ruby,Ruby,50,Ruby implementation of GraphQL ,1116,4814,|{'html_url': 'https://github.com/rmosolgo/graphql-ruby', 'avatar_url': 'https://avatars.githubusercontent.com/u/30337170?v=4', 'login': 'graphql-ruby'}|
