id,name,lang,new stars
2561582,daneden/animate.css,CSS,21
50264296,jgthms/bulma,CSS,20
122692377,houshanren/hangzhou_house_knowledge,CSS,7
20429943,SwiftGGTeam/the-swift-programming-language-in-chinese,CSS,7
150042589,nostalgic-css/NES.css,CSS,5
90786190,microsoft/TypeScript-Node-Starter,CSS,33
95309503,cyanharlow/purecss-francine,CSS,6
10267810,mmistakes/minimal-mistakes,CSS,13
115875606,theme-next/hexo-theme-next,CSS,24
47304932,prakhar1989/docker-curriculum,CSS,5
13655592,readthedocs/sphinx_rtd_theme,CSS,4
102095278,troxler/awesome-css-frameworks,CSS,9
9990881,TryGhost/Casper,CSS,2
164204096,emilbaehr/automatic-app-landing-page,CSS,18
114846052,WebStackPage/WebStackPage.github.io,CSS,11
54111104,matcornic/hugo-theme-learn,CSS,1
157951263,vinceliuice/Mojave-gtk-theme,CSS,3
137779419,resoai/TileBoard,CSS,15
170895520,jerrykuku/luci-theme-argon,CSS,9
80564356,microsoft/azuredevopslabs,CSS,1
242029094,JNKKKK/MoreToggles.css,CSS,40
58204433,RocketChat/docs,CSS,0
194182141,khronokernel/Opencore-Vanilla-Desktop-Guide,CSS,5
243522663,CreateThrive/react-firebase-admin,CSS,5
237734597,LiveCoronaDetector/livecod,CSS,6
